53-62-A8-0B,	352732081398974475,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-F3-DC-3C,	858920081442044988,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
52-D5-1D-0B,	352732081389698315,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-97-AC-0B,	352733081436003339,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-B3-8F-3C,	858920081437830972,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-BB-B5-3C,	858920081438364988,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
50-2D-15-3D,	858920081345131837,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-F9-AD-3C,	858920081442426172,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
51-AF-5D-0B,	518731081370447115,	2017-08-29 15:50:42.247,HS_EL5102-0_F_V3-2
55-97-C5-0B,	352733081436009739,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
51-B0-55-0B,	518731081370510603,	2017-08-29 15:50:42.247,HS_EL5102-0_F_V3-2
52-24-D0-0B,	352731081378144267,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-5A-96-0B,	352732081398445579,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-D3-93-0B,	352732081389597451,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-76-A8-0A,	352730081450616842,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-B2-26-3C,	858920081437738556,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-D3-91-3C,	858920081439928636,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-F7-3A-3C,	858920081442265660,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
52-F2-6C-0B,	352732081391619083,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-27-72-0B,	352732081395094027,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-D3-B9-0A,	352730081456716042,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-E6-AF-0B,	352732081390849803,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-E1-49-3C,	858920081440827708,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
54-75-4B-0B,	352732081416973067,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-A0-1B-0B,	352733081436556043,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-27-61-0B,	352732081395089675,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-13-D0-0B,	352732081393807371,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-E7-19-0B,	352732081390876939,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-1C-42-0B,	352732081394360843,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-CB-AE-0A,	352730081456188938,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-D4-CF-3C,	858920081440010044,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-D3-8C-3C,	858920081439927356,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-94-0F-3C,	858920081435766588,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-97-74-3C,	858920081435989052,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-FA-C5-3C,	858920081442497852,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
52-F4-63-0B,	352732081391747851,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-F2-66-0B,	352732081391617547,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-9A-72-0B,	352733081436185099,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-AD-D0-0B,	352733081437454347,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-EC-AC-0B,	352732081391242251,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
51-BD-83-15,	433805081371374357,	2018-08-23 08:31:35.673,HS_EL5102-0_F_V3-2
53-11-77-0B,	352732081393653515,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-D2-F2-0A,	352730081456665098,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-F3-45-3C,	858920081442006332,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-A9-B5-0B,	352733081437185291,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-0C-7A-0B,	352732081393326603,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-69-1B-0B,	352732081399397131,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-E1-DD-0A,	352730081457642762,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-DE-61-3C,	858920081440637244,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-B0-0F-3C,	858920081437601596,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-B9-8A-3C,	858920081438222908,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
57-5D-3C-3C,	858920081465728060,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-F7-C1-3C,	858920081442300220,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
50-BC-43-3C,	864919081354515260,	2019-07-17 06:23:53.677,HS_EL5102_1FM_60_00_A0_1675A
51-B1-28-0B,	518731081370564619,	2017-08-29 15:50:42.247,HS_EL5102-0_F_V3-2
53-29-44-0B,	352732081395213323,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-93-B9-0B,	352733081435744523,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-56-1C-0B,	352732081398152203,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-D2-6D-0A,	352730081456631050,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-E1-CB-0A,	352730081457638154,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-D8-49-3C,	858920081440237884,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-B5-3D-3C,	858920081437941052,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
52-F4-83-0B,	352732081391756043,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-1A-42-0B,	352732081394229771,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-ED-EF-0B,	352732081391324939,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-D7-F1-3C,	858920081440215356,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
53-33-F6-0B,	352732081395914251,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-CB-DF-0B,	352732081389092619,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-17-CC-0B,	352732081394068491,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-6B-B3-0B,	352732081399567115,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-24-50-0B,	352731081378111499,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-62-51-0B,	352732081398952203,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-E8-E4-3C,	858920081441326140,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-B5-B6-3C,	858920081437972028,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-AE-0D-0B,	352733081437469963,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-18-A0-0B,	352732081394122763,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-E2-6E-0A,	352730081457679882,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
54-68-20-0B,	352732081416110091,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-C5-69-0B,	352732081388669195,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
54-A9-09-0A,	352730081420364042,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-F2-C1-0B,	352732081391640843,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-E6-8D-0B,	352732081390841099,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-D2-40-0A,	352730081456619530,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-E9-13-3C,	858920081441338172,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-B2-D7-3C,	858920081437783868,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-F8-AB-3C,	858920081442360124,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
53-27-25-0B,	352732081395074315,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-19-F2-0B,	352732081394209291,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-EA-11-3C,	858920081441403196,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-F2-3D-3C,	858920081441938748,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-FD-3C-3C,	858920081442659388,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
52-C4-11-0B,	352732081388581131,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-20-29-0B,	352732081394616587,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-9B-2C-0B,	352733081436232715,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-A7-38-0B,	352733081437022219,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-FA-29-3C,	858920081442457916,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-E9-AB-3C,	858920081441377084,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-A0-76-0B,	352733081436579339,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-00-F7-0B,	352732081392572171,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
53-1A-00-0B,	352732081394212875,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
54-75-A3-0B,	352732081416995595,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-DE-1E-3C,	858920081440620092,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-BD-A2-3C,	858920081438491196,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
55-FB-16-3C,	858920081442518588,	2019-07-17 06:23:53.677,HS_EL5102_1M_62_04_A0_1675B
53-29-1E-0B,	352732081395203595,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-DB-D3-0B,	352732081390138123,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
56-E2-A6-0A,	352730081457694218,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
55-9E-CE-0B,	352733081436470795,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
52-F2-8E-0B,	352732081391627787,	2017-08-29 15:58:33.67,HS_EL5102-0_V2-4
